startingAirport,destinationAirport,avg_seats_left
DEN,LGA,6.541666666666667
DTW,DEN,6.464285714285714
DEN,DFW,6.434782608695652
DTW,EWR,6.421052631578948
DTW,LGA,6.270833333333333
CLT,EWR,6.1891891891891895
CLT,LGA,6.095238095238095
DEN,BOS,6.068965517241379
CLT,JFK,6.0
DTW,DFW,5.745762711864407
